name,imageIndex,label,predictedClass,pNorm,exactRobustness,epsilon
Dense1x60,8114,0,0,1,True,10.36218321393028
Dense1x60,4386,1,1,1,True,4.696642634099188
Dense1x60,6875,3,3,1,True,8.223100285354061
Dense2x30,5342,0,0,1,True,10.568642961812866
Dense2x30,2661,1,1,1,True,5.756620314075696
Dense2x30,578,3,2,1,True,0.0
Dense3x20,567,0,0,1,True,2.581115305545969
Dense3x20,4949,1,1,1,True,6.5268568452639
Dense3x20,4885,3,3,1,True,2.2120896042314406
Dense4x15,5087,0,0,1,True,3.577183178580156
Dense4x15,3259,1,1,1,True,2.976529548601425
Dense4x15,3150,3,3,1,True,5.016716718891664
Dense6x10,561,0,0,1,True,0.6661827438807995
Dense6x10,3809,1,1,1,True,1.989810981319908
Dense6x10,505,3,3,1,True,0.12066970642357576
Dense2x20,7269,0,0,1,True,7.766353097499454
Dense2x20,8488,1,1,1,True,7.058632371790141
Dense2x20,1204,3,8,1,True,0.0
Dense4x20,8865,0,0,1,True,5.30997729742249
Dense4x20,8799,1,1,1,True,3.4695714919368834
Dense4x20,2871,3,3,1,True,4.405024713967707
Dense3x50,3601,1,1,1,True,1.9963697797252475
Dense1x60,3895,0,0,1,True,2.161518425542714
Dense1x60,4034,0,0,1,True,7.35881314759424
Dense1x60,7385,0,0,1,True,8.325676181286354
Dense1x60,9549,1,1,1,True,6.641129505770184
Dense1x60,1922,1,1,1,True,5.14184043295616
Dense1x60,1434,1,1,1,True,7.138412161061732
Dense1x60,6045,3,9,1,True,0.0
Dense1x60,6455,3,3,1,True,1.8553802980483147
Dense1x60,9106,3,3,1,True,7.9509415569012605
Dense2x30,642,0,0,1,True,5.147056626507822
Dense2x30,7516,0,0,1,True,12.117947117159337
Dense2x30,8343,0,0,1,True,8.498857785972424
Dense2x30,4318,1,1,1,True,3.2105585683575644
Dense2x30,8449,1,1,1,True,6.582338405331814
Dense2x30,9774,1,1,1,True,5.9117799640506865
Dense2x30,5472,3,3,1,True,13.273932044697059
Dense2x30,4808,3,5,1,True,0.0
Dense2x30,7130,3,3,1,True,0.426299710013773
Dense3x20,192,0,0,1,True,6.8647845812305635
Dense3x20,6633,0,0,1,True,7.72166537268607
Dense3x20,9199,0,0,1,True,11.653780157185878
