name,imageIndex,label,predictedClass,pNorm,exactRobustness,epsilon
Dense1x60,8114,0,0,1,False,6.435546875
Dense1x60,4386,1,1,1,False,3.447265625
Dense1x60,6875,3,3,1,False,5.6396484375
Dense2x30,5342,0,0,1,False,6.0400390625
Dense2x30,2661,1,1,1,False,3.583984375
Dense2x30,578,3,2,1,False,1.1669921875
Dense3x20,567,0,0,1,False,1.826171875
Dense3x20,4949,1,1,1,False,3.3642578125
Dense3x20,4885,3,3,1,False,1.8310546875
Dense4x15,5087,0,0,1,False,3.1201171875
Dense4x15,3259,1,1,1,False,2.1435546875
Dense4x15,3150,3,3,1,False,3.759765625
Dense6x10,561,0,0,1,False,0.6591796875
Dense6x10,3809,1,1,1,False,1.474609375
Dense6x10,505,3,3,1,False,0.1171875
Dense2x20,7269,0,0,1,False,4.84375
Dense2x20,8488,1,1,1,False,4.78515625
Dense2x20,1204,3,8,1,False,0.6201171875
Dense4x20,8865,0,0,1,False,3.0029296875
Dense4x20,8799,1,1,1,False,2.5830078125
Dense4x20,2871,3,3,1,False,2.65625
Dense5x20,7593,0,0,1,False,3.2421875
Dense5x20,4144,1,1,1,False,2.4462890625
Dense5x20,1134,3,3,1,False,3.7353515625
Dense3x50,1623,0,0,1,False,4.755859375
Dense3x50,3601,1,1,1,False,1.4990234375
Dense3x50,2731,3,3,1,False,2.4951171875
Dense3x200,3911,0,0,1,False,2.6318359375
Dense3x200,9802,1,1,1,False,1.89453125
Dense3x200,8201,3,3,1,False,2.7490234375
Dense2x41,2209,0,0,1,False,3.1494140625
Dense2x41,3420,1,1,1,False,2.6025390625
Dense2x41,1069,3,3,1,False,3.9013671875
Dense3x38,3020,0,0,1,False,1.9677734375
Dense3x38,2245,1,1,1,False,1.46484375
Dense3x38,7995,3,3,1,False,4.9072265625
Dense2x12,2294,0,0,1,False,2.3095703125
Dense2x12,5052,1,1,1,False,2.6025390625
Dense2x12,1681,3,7,1,False,5.2587890625
Dense2x28,7139,0,0,1,False,4.384765625
Dense2x28,1834,1,1,1,False,3.935546875
Dense2x28,3769,3,3,1,False,1.2890625
Dense2x23,8098,0,0,1,False,3.9697265625
Dense2x23,1430,1,1,1,False,4.1455078125
Dense2x23,7470,3,3,1,False,5.3564453125
Dense2x22,1748,0,4,1,False,0.0732421875
Dense2x22,7191,1,1,1,False,3.0908203125
Dense2x22,8070,3,3,1,False,5.615234375
Dense3x31,7452,0,0,1,False,4.111328125
Dense3x31,4732,1,1,1,False,1.93359375
Dense3x31,7893,3,3,1,False,3.3349609375
Dense2x34,5827,0,0,1,False,2.7490234375
Dense2x34,3320,1,1,1,False,2.8662109375
Dense2x34,8975,3,3,1,False,3.916015625
Dense3x42,9405,0,0,1,False,4.31640625
Dense3x42,89,1,1,1,False,2.861328125
Dense3x42,2723,3,3,1,False,2.2802734375
Dense3x51,380,0,0,1,False,2.8076171875
Dense3x51,3625,1,1,1,False,1.93359375
Dense3x51,5542,3,3,1,False,2.48046875
Dense3x25,4631,0,0,1,False,7.7099609375
Dense3x25,6868,1,1,1,False,3.486328125
Dense3x25,5766,3,3,1,False,5.3369140625
Dense2x29,5593,0,0,1,False,1.9921875
Dense2x29,5327,1,1,1,False,4.4189453125
Dense2x29,8603,3,3,1,False,4.4677734375
Dense3x41,8865,0,0,1,False,3.857421875
Dense3x41,5453,1,1,1,False,2.431640625
Dense3x41,8290,3,3,1,False,0.7177734375
Dense3x19,1808,0,0,1,False,2.79296875
Dense3x19,2753,1,1,1,False,1.6064453125
Dense3x19,9882,3,3,1,False,1.533203125
Dense2x39,6201,0,0,1,False,5.5029296875
Dense2x39,7806,1,1,1,False,2.6806640625
Dense2x39,245,3,3,1,False,1.6796875
Dense3x47,7112,0,0,1,False,3.2666015625
Dense3x47,4853,1,1,1,False,2.666015625
Dense3x47,3449,3,3,1,False,4.3701171875
Dense2x37,2873,0,0,1,False,4.2236328125
Dense2x37,7900,1,1,1,False,0.41015625
Dense2x37,6370,3,3,1,False,1.5966796875
Dense3x33,3043,0,0,1,False,3.564453125
Dense3x33,8543,1,1,1,False,2.28515625
Dense3x33,9156,3,3,1,False,3.583984375
Dense2x18,459,0,0,1,False,3.3837890625
Dense2x18,767,1,1,1,False,3.193359375
Dense2x18,2511,3,3,1,False,1.328125
Dense3x29,5139,0,0,1,False,5.6201171875
Dense3x29,2359,1,1,1,False,2.5927734375
Dense3x29,4907,3,3,1,False,2.958984375
Dense3x43,9951,0,0,1,False,1.708984375
Dense3x43,9348,1,1,1,False,2.8271484375
Dense3x43,4613,3,3,1,False,0.99609375
Dense3x32,9897,0,0,1,False,4.4677734375
Dense3x32,4595,1,1,1,False,3.88671875
Dense3x32,5508,3,3,1,False,4.130859375
Dense3x12,7747,0,0,1,False,5.9228515625
Dense3x12,8420,1,1,1,False,2.1337890625
Dense3x12,1615,3,3,1,False,4.4677734375
Dense2x40,763,0,0,1,False,3.4619140625
Dense2x40,9025,1,1,1,False,2.08984375
Dense2x40,505,3,3,1,False,3.5302734375
Dense2x19,3219,0,0,1,False,0.4248046875
Dense2x19,3761,1,1,1,False,3.1103515625
Dense2x19,9579,3,3,1,False,5.9130859375
Dense3x36,7225,0,0,1,False,3.2080078125
Dense3x36,5014,1,1,1,False,2.34375
Dense3x36,6767,3,3,1,False,4.345703125
Dense2x32,8501,0,0,1,False,6.9287109375
Dense2x32,9657,1,1,1,False,3.056640625
Dense2x32,1617,3,3,1,False,2.353515625
Dense3x48,7782,0,0,1,False,5.107421875
Dense3x48,5550,1,1,1,False,3.1982421875
Dense3x48,6453,3,3,1,False,0.673828125
Dense1x60,3401,0,0,1,False,4.228515625
Dense1x60,7385,0,0,1,False,5.5517578125
Dense1x60,545,0,0,1,False,2.509765625
Dense1x60,7987,0,0,1,False,9.1552734375
Dense1x60,2185,0,5,1,False,1.2939453125
Dense1x60,7780,0,0,1,False,8.33984375
Dense1x60,5435,0,0,1,False,4.3359375
Dense1x60,7558,0,0,1,False,2.5048828125
Dense1x60,5974,0,0,1,False,3.857421875
Dense1x60,8528,0,0,1,False,8.73046875
Dense1x60,4186,0,0,1,False,5.322265625
Dense1x60,6461,0,0,1,False,5.576171875
Dense1x60,6131,0,0,1,False,7.8955078125
Dense1x60,9239,0,0,1,False,6.5234375
Dense1x60,1623,0,0,1,False,4.9853515625
Dense1x60,1807,0,0,1,False,3.3984375
Dense1x60,4935,0,0,1,False,3.9501953125
Dense1x60,6264,0,0,1,False,6.4794921875
Dense1x60,3895,0,0,1,False,1.9580078125
Dense1x60,1271,0,0,1,False,3.427734375
Dense1x60,9264,0,0,1,False,3.0517578125
Dense1x60,459,0,0,1,False,3.80859375
Dense1x60,9367,0,0,1,False,6.533203125
Dense1x60,5519,0,0,1,False,2.6318359375
Dense1x60,1379,0,0,1,False,2.9736328125
Dense1x60,4776,0,0,1,False,8.2177734375
Dense1x60,2333,0,0,1,False,1.7724609375
Dense1x60,4034,0,0,1,False,5.1513671875
Dense1x60,7868,0,0,1,False,6.357421875
Dense1x60,3764,0,5,1,False,0.5810546875
Dense1x60,8228,0,0,1,False,2.529296875
Dense1x60,1191,0,7,1,False,1.30859375
Dense1x60,2492,0,0,1,False,6.4892578125
Dense1x60,4085,1,1,1,False,5.048828125
Dense1x60,9549,1,1,1,False,4.0625
Dense1x60,1785,1,1,1,False,3.7255859375
