testing_network,filename,source,target_class,predicted_class,fastlin_eps
Dense1x60,Avg_Exp2_0.png,Exp2,0,0,7.1337890625
Dense1x60,Avg_Exp2_1.png,Exp2,1,2,0.0146484375
Dense1x60,Avg_Exp2_3.png,Exp2,3,3,19.8388671875
Dense1x60,Avg_MNIST_0.png,MNIST,0,0,6.5234375
Dense1x60,Avg_MNIST_1.png,MNIST,1,1,3.5791015625
Dense1x60,Avg_MNIST_3.png,MNIST,3,3,4.8681640625
Dense2x30,Avg_Exp2_0.png,Exp2,0,0,12.28515625
Dense2x30,Avg_Exp2_1.png,Exp2,1,2,3.37890625
Dense2x30,Avg_Exp2_3.png,Exp2,3,3,19.6484375
Dense2x30,Avg_MNIST_0.png,MNIST,0,0,6.7041015625
Dense2x30,Avg_MNIST_1.png,MNIST,1,1,3.7646484375
Dense2x30,Avg_MNIST_3.png,MNIST,3,3,4.9365234375
Dense3x20,Avg_Exp2_0.png,Exp2,0,0,15.09765625
Dense3x20,Avg_Exp2_1.png,Exp2,1,1,7.3388671875
Dense3x20,Avg_Exp2_3.png,Exp2,3,3,17.2509765625
Dense3x20,Avg_MNIST_0.png,MNIST,0,0,6.611328125
Dense3x20,Avg_MNIST_1.png,MNIST,1,1,3.22265625
Dense3x20,Avg_MNIST_3.png,MNIST,3,3,5.849609375
Dense4x15,Avg_Exp2_0.png,Exp2,0,0,4.619140625
Dense4x15,Avg_Exp2_1.png,Exp2,1,8,0.703125
Dense4x15,Avg_Exp2_3.png,Exp2,3,3,22.6025390625
Dense4x15,Avg_MNIST_0.png,MNIST,0,0,4.1650390625
Dense4x15,Avg_MNIST_1.png,MNIST,1,1,2.5634765625
Dense4x15,Avg_MNIST_3.png,MNIST,3,3,5.390625
Dense6x10,Avg_Exp2_0.png,Exp2,0,0,9.5361328125
Dense6x10,Avg_Exp2_1.png,Exp2,1,5,1.923828125
Dense6x10,Avg_Exp2_3.png,Exp2,3,3,18.525390625
Dense6x10,Avg_MNIST_0.png,MNIST,0,0,3.037109375
Dense6x10,Avg_MNIST_1.png,MNIST,1,1,1.54296875
Dense6x10,Avg_MNIST_3.png,MNIST,3,3,2.34375
Dense2x20,Avg_Exp2_0.png,Exp2,0,0,14.39453125
Dense2x20,Avg_Exp2_1.png,Exp2,1,1,3.544921875
Dense2x20,Avg_Exp2_3.png,Exp2,3,3,27.3486328125
Dense2x20,Avg_MNIST_0.png,MNIST,0,0,8.359375
Dense2x20,Avg_MNIST_1.png,MNIST,1,1,4.2919921875
Dense2x20,Avg_MNIST_3.png,MNIST,3,3,7.34375
Dense4x20,Avg_Exp2_0.png,Exp2,0,0,14.7509765625
Dense4x20,Avg_Exp2_1.png,Exp2,1,8,0.9814453125
Dense4x20,Avg_Exp2_3.png,Exp2,3,3,10.3662109375
Dense4x20,Avg_MNIST_0.png,MNIST,0,0,5.21484375
Dense4x20,Avg_MNIST_1.png,MNIST,1,1,1.875
Dense4x20,Avg_MNIST_3.png,MNIST,3,3,3.28125
Dense5x20,Avg_Exp2_0.png,Exp2,0,5,2.119140625
Dense5x20,Avg_Exp2_1.png,Exp2,1,1,6.708984375
Dense5x20,Avg_Exp2_3.png,Exp2,3,3,16.89453125
Dense5x20,Avg_MNIST_0.png,MNIST,0,0,3.92578125
Dense5x20,Avg_MNIST_1.png,MNIST,1,1,1.6845703125
Dense5x20,Avg_MNIST_3.png,MNIST,3,3,4.2919921875
Dense3x50,Avg_Exp2_0.png,Exp2,0,0,6.4892578125
Dense3x50,Avg_Exp2_1.png,Exp2,1,3,3.3203125
Dense3x50,Avg_Exp2_3.png,Exp2,3,3,20.556640625
Dense3x50,Avg_MNIST_0.png,MNIST,0,0,5.7568359375
Dense3x50,Avg_MNIST_1.png,MNIST,1,1,2.7392578125
Dense3x50,Avg_MNIST_3.png,MNIST,3,3,4.208984375
Dense3x200,Avg_Exp2_0.png,Exp2,0,0,8.90625
Dense3x200,Avg_Exp2_1.png,Exp2,1,2,0.99609375
Dense3x200,Avg_Exp2_3.png,Exp2,3,3,11.494140625
Dense3x200,Avg_MNIST_0.png,MNIST,0,0,4.0771484375
Dense3x200,Avg_MNIST_1.png,MNIST,1,1,1.1572265625
Dense3x200,Avg_MNIST_3.png,MNIST,3,3,3.046875
Dense2x41,Avg_Exp2_0.png,Exp2,0,0,11.0302734375
Dense2x41,Avg_Exp2_1.png,Exp2,1,2,1.62109375
Dense2x41,Avg_Exp2_3.png,Exp2,3,3,16.513671875
Dense2x41,Avg_MNIST_0.png,MNIST,0,0,6.3671875
Dense2x41,Avg_MNIST_1.png,MNIST,1,1,2.8173828125
Dense2x41,Avg_MNIST_3.png,MNIST,3,3,4.189453125
Dense3x38,Avg_Exp2_0.png,Exp2,0,0,13.6083984375
Dense3x38,Avg_Exp2_1.png,Exp2,1,3,1.6455078125
Dense3x38,Avg_Exp2_3.png,Exp2,3,3,21.0986328125
Dense3x38,Avg_MNIST_0.png,MNIST,0,0,6.2890625
Dense3x38,Avg_MNIST_1.png,MNIST,1,1,2.36328125
Dense3x38,Avg_MNIST_3.png,MNIST,3,3,4.2822265625
Dense2x12,Avg_Exp2_0.png,Exp2,0,0,7.568359375
Dense2x12,Avg_Exp2_1.png,Exp2,1,1,0.009765625
Dense2x12,Avg_Exp2_3.png,Exp2,3,3,30.6591796875
Dense2x12,Avg_MNIST_0.png,MNIST,0,0,8.1103515625
Dense2x12,Avg_MNIST_1.png,MNIST,1,1,3.7939453125
Dense2x12,Avg_MNIST_3.png,MNIST,3,3,6.2255859375
Dense2x28,Avg_Exp2_0.png,Exp2,0,0,10.888671875
Dense2x28,Avg_Exp2_1.png,Exp2,1,1,6.8310546875
Dense2x28,Avg_Exp2_3.png,Exp2,3,3,19.3310546875
Dense2x28,Avg_MNIST_0.png,MNIST,0,0,5.68359375
Dense2x28,Avg_MNIST_1.png,MNIST,1,1,3.3056640625
Dense2x28,Avg_MNIST_3.png,MNIST,3,3,4.833984375
Dense2x23,Avg_Exp2_0.png,Exp2,0,0,13.65234375
Dense2x23,Avg_Exp2_1.png,Exp2,1,1,5.673828125
Dense2x23,Avg_Exp2_3.png,Exp2,3,3,24.5947265625
Dense2x23,Avg_MNIST_0.png,MNIST,0,0,7.01171875
Dense2x23,Avg_MNIST_1.png,MNIST,1,1,3.5546875
