testing_network,gen_net1,gen_net2,target_class,predicted_class,mode,filename,fastlin_eps
Dense1x60,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,11.298828125
Dense1x60,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,21.4794921875
Dense1x60,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,12.8076171875
Dense1x60,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,12.67578125
Dense1x60,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,12.5537109375
Dense1x60,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,16.6259765625
Dense1x60,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,13.9306640625
Dense1x60,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,9.0869140625
Dense2x30,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,9.6728515625
Dense2x30,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,18.8525390625
Dense2x30,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,14.3994140625
Dense2x30,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,8.8525390625
Dense2x30,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,15.4345703125
Dense2x30,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,13.4619140625
Dense2x30,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,14.140625
Dense2x30,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,12.83203125
Dense3x20,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,13.3740234375
Dense3x20,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,10.6298828125
Dense3x20,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,15.1220703125
Dense3x20,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,12.01171875
Dense3x20,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,15.5810546875
Dense3x20,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,25.712890625
Dense3x20,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,18.896484375
Dense3x20,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,14.736328125
Dense4x15,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,7.8564453125
Dense4x15,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,19.921875
Dense4x15,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,7.48046875
Dense4x15,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,11.1962890625
Dense4x15,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,4.814453125
Dense4x15,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,25.4833984375
Dense4x15,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,27.2021484375
Dense4x15,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,10.8349609375
Dense6x10,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,8.916015625
Dense6x10,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,16.9970703125
Dense6x10,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,6.07421875
Dense6x10,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,9.1552734375
Dense6x10,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,5.9814453125
Dense6x10,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,21.796875
Dense6x10,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,20.810546875
Dense6x10,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,6.8994140625
Dense2x20,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,15.17578125
Dense2x20,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,29.0380859375
Dense2x20,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,18.740234375
Dense2x20,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,17.578125
Dense2x20,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,19.1943359375
Dense2x20,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,25.224609375
Dense2x20,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,27.71484375
Dense2x20,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,16.3427734375
Dense4x20,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,17.705078125
Dense4x20,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,6.2353515625
Dense4x20,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,14.765625
Dense4x20,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,16.6162109375
Dense4x20,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,15.537109375
Dense4x20,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,6.3037109375
Dense4x20,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,1.6552734375
Dense4x20,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,13.45703125
Dense5x20,Dense1x60,Dense4x20,0,2,independent,Dense1x60_Dense4x20_0_independent.png,1.8603515625
Dense5x20,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,14.7412109375
Dense5x20,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,6.005859375
Dense5x20,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,5.4931640625
Dense5x20,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,3.30078125
Dense5x20,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,16.3037109375
Dense5x20,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,20.0537109375
Dense5x20,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,2.666015625
Dense3x50,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,6.8798828125
Dense3x50,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,25.1708984375
Dense3x50,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,9.3505859375
Dense3x50,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,10.1416015625
Dense3x50,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,10.068359375
Dense3x50,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,15.732421875
Dense3x50,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,16.8408203125
Dense3x50,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,9.9609375
Dense3x200,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,10.01953125
Dense3x200,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,12.1875
Dense3x200,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,9.2626953125
Dense3x200,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,7.998046875
Dense3x200,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,9.78515625
Dense3x200,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,9.970703125
Dense3x200,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,9.208984375
Dense3x200,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,9.3701171875
Dense2x41,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,10.4541015625
Dense2x41,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,21.3134765625
Dense2x41,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,13.0810546875
Dense2x41,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,12.7685546875
Dense2x41,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,13.1591796875
Dense2x41,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,10.9423828125
Dense2x41,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,11.796875
Dense2x41,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,11.38671875
Dense3x38,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,15.4443359375
Dense3x38,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,22.451171875
Dense3x38,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,11.0595703125
Dense3x38,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,15.5224609375
Dense3x38,Dense2x39,Dense2x19,0,0,independent,Dense2x39_Dense2x19_0_independent.png,11.0888671875
Dense3x38,Dense3x20,Dense4x15,3,3,independent,Dense3x20_Dense4x15_3_independent.png,19.150390625
Dense3x38,Dense3x29,Dense2x19,3,3,independent,Dense3x29_Dense2x19_3_independent.png,20.3076171875
Dense3x38,Dense3x32,Dense2x19,0,0,independent,Dense3x32_Dense2x19_0_independent.png,13.1982421875
Dense2x12,Dense1x60,Dense4x20,0,0,independent,Dense1x60_Dense4x20_0_independent.png,9.7265625
Dense2x12,Dense2x12,Dense2x28,3,3,independent,Dense2x12_Dense2x28_3_independent.png,33.6865234375
Dense2x12,Dense2x22,Dense2x19,0,0,independent,Dense2x22_Dense2x19_0_independent.png,18.65234375
Dense2x12,Dense2x29,Dense3x19,0,0,independent,Dense2x29_Dense3x19_0_independent.png,14.6142578125
