testing_network,filename,target_class,variation,predicted_class,fastlin_eps
Dense1x60,PCA_MNIST_0_var0.png,0,var0,0,5.390625
Dense1x60,PCA_MNIST_0_var1.png,0,var1,0,6.6162109375
Dense1x60,PCA_MNIST_0_var2.png,0,var2,0,6.5234375
Dense1x60,PCA_MNIST_0_var3.png,0,var3,0,5.6005859375
Dense1x60,PCA_MNIST_0_var4.png,0,var4,0,3.9306640625
Dense1x60,PCA_MNIST_1_var0.png,1,var0,1,4.23828125
Dense1x60,PCA_MNIST_1_var1.png,1,var1,1,4.4921875
Dense1x60,PCA_MNIST_1_var2.png,1,var2,1,3.5791015625
Dense1x60,PCA_MNIST_1_var3.png,1,var3,1,3.525390625
Dense1x60,PCA_MNIST_1_var4.png,1,var4,1,2.9541015625
Dense1x60,PCA_MNIST_3_var0.png,3,var0,3,4.6728515625
Dense1x60,PCA_MNIST_3_var1.png,3,var1,3,4.5458984375
Dense1x60,PCA_MNIST_3_var2.png,3,var2,3,4.8681640625
Dense1x60,PCA_MNIST_3_var3.png,3,var3,3,4.921875
Dense1x60,PCA_MNIST_3_var4.png,3,var4,3,4.3310546875
Dense2x30,PCA_MNIST_0_var0.png,0,var0,0,5.21484375
Dense2x30,PCA_MNIST_0_var1.png,0,var1,0,7.5732421875
Dense2x30,PCA_MNIST_0_var2.png,0,var2,0,6.7041015625
Dense2x30,PCA_MNIST_0_var3.png,0,var3,0,5.634765625
Dense2x30,PCA_MNIST_0_var4.png,0,var4,0,4.384765625
Dense2x30,PCA_MNIST_1_var0.png,1,var0,1,3.6328125
Dense2x30,PCA_MNIST_1_var1.png,1,var1,1,3.759765625
Dense2x30,PCA_MNIST_1_var2.png,1,var2,1,3.7646484375
Dense2x30,PCA_MNIST_1_var3.png,1,var3,1,3.7744140625
Dense2x30,PCA_MNIST_1_var4.png,1,var4,1,3.2861328125
Dense2x30,PCA_MNIST_3_var0.png,3,var0,3,4.833984375
Dense2x30,PCA_MNIST_3_var1.png,3,var1,3,5.087890625
Dense2x30,PCA_MNIST_3_var2.png,3,var2,3,4.9365234375
Dense2x30,PCA_MNIST_3_var3.png,3,var3,3,4.6533203125
Dense2x30,PCA_MNIST_3_var4.png,3,var4,3,4.1845703125
Dense3x20,PCA_MNIST_0_var0.png,0,var0,0,6.42578125
Dense3x20,PCA_MNIST_0_var1.png,0,var1,0,7.65625
Dense3x20,PCA_MNIST_0_var2.png,0,var2,0,6.611328125
Dense3x20,PCA_MNIST_0_var3.png,0,var3,0,5.3076171875
Dense3x20,PCA_MNIST_0_var4.png,0,var4,0,3.8427734375
Dense3x20,PCA_MNIST_1_var0.png,1,var0,1,3.076171875
