name,imageIndex,label,predictedClass,pNorm,epsilon
Dense1x25,9174,0,0,1,7.1142578125
Dense1x25,6015,0,0,1,0.419921875
Dense1x25,1487,0,0,1,1.015625
Dense1x25,6779,0,0,1,5.9814453125
Dense1x25,7342,0,0,1,7.6611328125
Dense1x25,713,0,0,1,0.615234375
Dense1x25,4079,0,0,1,4.1064453125
Dense1x25,6750,0,0,1,8.212890625
Dense1x25,8929,0,0,1,7.4462890625
Dense1x25,4208,0,0,1,2.7392578125
Dense1x25,4527,0,0,1,3.22265625
Dense1x25,4034,0,0,1,3.9111328125
Dense1x25,7255,0,0,1,3.505859375
Dense1x25,3077,0,5,1,0.1220703125
Dense1x25,2649,0,0,1,7.9052734375
Dense1x25,7052,0,0,1,5.224609375
Dense1x25,6588,0,0,1,4.453125
Dense1x25,9189,0,0,1,5.3173828125
Dense1x25,2714,0,0,1,3.06640625
Dense1x25,3959,0,0,1,4.7314453125
Dense1x25,1195,0,0,1,5.244140625
Dense1x25,7820,0,0,1,7.3974609375
Dense1x25,7737,0,0,1,7.48046875
Dense1x25,5087,0,0,1,6.0302734375
Dense1x25,8490,0,0,1,7.216796875
Dense1x25,2962,0,0,1,5.615234375
Dense1x25,9296,0,0,1,2.4658203125
Dense1x25,2765,0,0,1,4.296875
Dense1x25,2748,0,0,1,2.265625
Dense1x25,25,0,0,1,6.435546875
Dense1x25,2258,1,1,1,3.4912109375
Dense1x25,4764,1,1,1,2.8515625
Dense1x25,8600,1,1,1,4.3798828125
Dense1x25,4069,1,1,1,5.556640625
Dense1x25,5978,1,1,1,3.7890625
Dense1x25,3264,1,1,1,4.052734375
Dense1x25,9599,1,1,1,3.2763671875
Dense1x25,3679,1,1,1,4.04296875
Dense1x25,967,1,1,1,4.619140625
Dense1x25,9923,1,1,1,3.76953125
Dense1x25,224,1,1,1,1.8603515625
Dense1x25,6320,1,1,1,4.16015625
Dense1x25,3230,1,1,1,6.0595703125
Dense1x25,7591,1,1,1,3.6376953125
Dense1x25,9549,1,1,1,4.2724609375
Dense1x25,3598,1,8,1,0.15625
Dense1x25,7290,1,1,1,4.7265625
Dense1x25,2379,1,1,1,5.3759765625
Dense1x25,5998,1,1,1,2.6025390625
Dense1x25,8488,1,1,1,4.453125
Dense1x25,640,1,1,1,4.7119140625
Dense1x25,716,1,1,1,2.83203125
Dense1x25,5550,1,1,1,5.9326171875
Dense1x25,8892,1,1,1,2.490234375
Dense1x25,7934,1,1,1,0.48828125
Dense1x25,5524,1,1,1,5.6005859375
Dense1x25,7658,1,1,1,4.8388671875
Dense1x25,9407,1,1,1,5.1318359375
Dense1x25,8286,1,1,1,0.8984375
Dense1x25,9520,1,1,1,4.140625
Dense1x25,1765,3,3,1,0.400390625
Dense1x25,4306,3,7,1,3.8037109375
Dense1x25,18,3,3,1,1.6796875
Dense1x25,6873,3,3,1,3.7890625
Dense1x25,9380,3,3,1,5.205078125
Dense1x25,6349,3,3,1,3.5546875
Dense1x25,9011,3,3,1,2.5927734375
Dense1x25,8206,3,3,1,6.865234375
Dense1x25,7282,3,3,1,2.9443359375
Dense1x25,1913,3,3,1,0.7470703125
Dense1x25,8014,3,3,1,3.5400390625
Dense1x25,5019,3,3,1,3.125
Dense1x25,6722,3,3,1,7.0703125
Dense1x25,7407,3,3,1,4.2041015625
Dense1x25,5245,3,3,1,3.1640625
Dense1x25,4740,3,9,1,0.0927734375
Dense1x25,3824,3,3,1,3.1005859375
Dense1x25,3953,3,3,1,2.177734375
Dense1x25,3074,3,3,1,3.408203125
Dense1x25,51,3,3,1,4.98046875
Dense1x25,5882,3,3,1,3.4423828125
Dense1x25,6023,3,5,1,0.4296875
Dense1x25,6061,3,3,1,2.8271484375
Dense1x25,2906,3,5,1,0.4931640625
Dense1x25,2230,3,3,1,2.5244140625
Dense1x25,7831,3,3,1,4.9267578125
Dense1x25,1789,3,3,1,2.177734375
Dense1x25,6213,3,3,1,2.51953125
Dense1x25,3045,3,3,1,5.6396484375
Dense1x25,9579,3,3,1,5.048828125
Dense1x60,8496,0,0,1,9.1357421875
Dense1x60,9358,0,0,1,5.4541015625
Dense1x60,6959,0,0,1,6.181640625
Dense1x60,5778,0,0,1,4.580078125
Dense1x60,4365,0,0,1,6.025390625
Dense1x60,2657,0,0,1,5.9423828125
Dense1x60,2714,0,0,1,5.693359375
Dense1x60,5031,0,0,1,6.8896484375
Dense1x60,8501,0,0,1,8.6083984375
Dense1x60,71,0,0,1,8.4375
Dense1x60,9809,0,0,1,4.375
Dense1x60,2707,0,0,1,6.650390625
Dense1x60,9052,0,0,1,12.2216796875
Dense1x60,4186,0,0,1,5.78125
Dense1x60,269,0,0,1,4.853515625
Dense1x60,6546,0,0,1,3.28125
Dense1x60,1757,0,0,1,4.404296875
Dense1x60,5830,0,0,1,6.982421875
Dense1x60,2329,0,0,1,2.4365234375
Dense1x60,7337,0,0,1,6.337890625
Dense1x60,4739,0,0,1,2.5830078125
Dense1x60,2821,0,0,1,5.2978515625
Dense1x60,3265,0,0,1,5.7275390625
Dense1x60,3870,0,0,1,5.283203125
Dense1x60,7202,0,0,1,4.9365234375
Dense1x60,7049,0,0,1,1.4208984375
Dense1x60,9310,0,0,1,4.775390625
Dense1x60,3650,0,0,1,5.2880859375
Dense1x60,9189,0,0,1,5.91796875
Dense1x60,8859,0,0,1,5.9228515625
Dense1x60,8233,1,1,1,4.9560546875
Dense1x60,949,1,1,1,4.3603515625
Dense1x60,4013,1,1,1,4.62890625
Dense1x60,4589,1,1,1,3.515625
Dense1x60,5848,1,1,1,4.3212890625
Dense1x60,9796,1,1,1,4.677734375
Dense1x60,615,1,1,1,4.765625
Dense1x60,4932,1,1,1,4.0380859375
Dense1x60,7969,1,1,1,5.2880859375
Dense1x60,345,1,1,1,5.1611328125
Dense1x60,7191,1,1,1,3.7939453125
Dense1x60,9124,1,1,1,5.244140625
Dense1x60,2705,1,1,1,2.9443359375
Dense1x60,4349,1,1,1,5.146484375
Dense1x60,204,1,1,1,3.662109375
Dense1x60,735,1,1,1,4.66796875
Dense1x60,9661,1,1,1,4.4873046875
Dense1x60,7226,1,1,1,3.5400390625
Dense1x60,1835,1,1,1,3.8037109375
Dense1x60,9049,1,1,1,5.44921875
Dense1x60,1900,1,1,1,3.0029296875
Dense1x60,9499,1,1,1,4.55078125
Dense1x60,1884,1,1,1,4.74609375
Dense1x60,3255,1,1,1,3.9404296875
Dense1x60,4110,1,1,1,2.9345703125
Dense1x60,7480,1,1,1,4.9609375
Dense1x60,3858,1,1,1,3.5888671875
Dense1x60,3070,1,1,1,4.3115234375
Dense1x60,5984,1,1,1,3.642578125
Dense1x60,3586,1,1,1,5.5517578125
Dense1x60,4270,3,3,1,4.1357421875
Dense1x60,5635,3,3,1,2.63671875
Dense1x60,6139,3,3,1,3.203125
Dense1x60,3824,3,3,1,3.8671875
Dense1x60,3493,3,3,1,4.4140625
Dense1x60,3834,3,3,1,1.220703125
Dense1x60,6030,3,3,1,1.8212890625
Dense1x60,1317,3,3,1,2.96875
Dense1x60,2914,3,3,1,1.2451171875
Dense1x60,9558,3,3,1,3.671875
Dense1x60,2865,3,3,1,4.12109375
Dense1x60,2594,3,3,1,2.8173828125
Dense1x60,9804,3,3,1,4.53125
Dense1x60,7993,3,3,1,5.791015625
Dense1x60,112,3,3,1,3.18359375
Dense1x60,2931,3,3,1,2.98828125
Dense1x60,4740,3,3,1,0.234375
Dense1x60,2080,3,3,1,6.3232421875
Dense1x60,3527,3,3,1,4.6044921875
Dense1x60,1615,3,3,1,6.2841796875
Dense1x60,500,3,3,1,8.8525390625
Dense1x60,7250,3,3,1,7.24609375
Dense1x60,4317,3,3,1,2.880859375
Dense1x60,4334,3,3,1,2.783203125
Dense1x60,5935,3,3,1,1.5966796875
Dense1x60,1591,3,3,1,2.783203125
Dense1x60,782,3,3,1,5.2978515625
Dense1x60,2501,3,3,1,6.7138671875
Dense1x60,1479,3,3,1,7.4853515625
Dense1x60,1092,3,3,1,1.6845703125
Dense1x65,3368,0,0,1,6.015625
Dense1x65,9983,0,0,1,7.470703125
Dense1x65,5684,0,0,1,7.20703125
Dense1x65,8458,0,0,1,10.2392578125
Dense1x65,2304,0,0,1,9.82421875
Dense1x65,8634,0,0,1,5.4541015625
Dense1x65,6454,0,0,1,5.625
Dense1x65,3608,0,0,1,9.6435546875
Dense1x65,7289,0,0,1,8.1298828125
Dense1x65,9310,0,0,1,4.2431640625
Dense1x65,4617,0,0,1,5.9912109375
Dense1x65,9885,0,0,1,4.716796875
Dense1x65,6781,0,0,1,9.970703125
Dense1x65,6016,0,0,1,7.841796875
Dense1x65,6473,0,0,1,4.990234375
Dense1x65,9528,0,0,1,8.8720703125
Dense1x65,6264,0,0,1,8.544921875
Dense1x65,4432,0,0,1,2.802734375
Dense1x65,7168,0,0,1,6.6455078125
Dense1x65,8425,0,0,1,3.935546875
Dense1x65,9763,0,0,1,3.6181640625
Dense1x65,6711,0,0,1,8.427734375
Dense1x65,4208,0,0,1,5.0732421875
Dense1x65,2657,0,0,1,5.546875
Dense1x65,717,0,6,1,1.162109375
Dense1x65,1723,0,0,1,7.333984375
Dense1x65,9080,0,0,1,7.48046875
Dense1x65,3870,0,0,1,5.7958984375
Dense1x65,642,0,0,1,3.6181640625
Dense1x65,157,0,0,1,3.69140625
Dense1x65,9946,1,1,1,3.3984375
Dense1x65,5331,1,6,1,1.7626953125
Dense1x65,7581,1,1,1,4.4482421875
Dense1x65,3073,1,2,1,0.791015625
Dense1x65,4110,1,1,1,1.9287109375
Dense1x65,8729,1,1,1,4.2138671875
Dense1x65,6533,1,1,1,4.5458984375
Dense1x65,4147,1,1,1,2.9541015625
Dense1x65,4201,1,7,1,0.791015625
Dense1x65,4930,1,1,1,3.0419921875
Dense1x65,5211,1,1,1,2.4169921875
Dense1x65,9336,1,1,1,4.1845703125
Dense1x65,5839,1,1,1,3.4033203125
Dense1x65,4303,1,1,1,3.837890625
Dense1x65,2357,1,1,1,4.27734375
Dense1x65,5991,1,1,1,4.2529296875
Dense1x65,5128,1,1,1,4.35546875
Dense1x65,5679,1,1,1,3.7060546875
Dense1x65,8600,1,1,1,5.2685546875
Dense1x65,4450,1,1,1,3.5888671875
Dense1x65,1201,1,1,1,3.6279296875
Dense1x65,6634,1,1,1,3.4130859375
Dense1x65,9265,1,1,1,3.1005859375
Dense1x65,8305,1,1,1,4.1357421875
Dense1x65,6472,1,1,1,3.857421875
Dense1x65,1254,1,1,1,3.7841796875
Dense1x65,5431,1,1,1,3.1787109375
Dense1x65,5132,1,1,1,4.08203125
Dense1x65,716,1,1,1,2.4365234375
Dense1x65,5831,1,1,1,1.875
Dense1x65,7006,3,3,1,5.56640625
Dense1x65,7849,3,3,1,3.30078125
Dense1x65,9742,3,3,1,5.0732421875
Dense1x65,8140,3,3,1,7.94921875
Dense1x65,7065,3,3,1,4.6533203125
Dense1x65,1472,3,3,1,1.7578125
Dense1x65,3916,3,3,1,3.75
Dense1x65,7401,3,3,1,4.8046875
Dense1x65,7282,3,3,1,4.12109375
Dense1x65,4220,3,3,1,3.876953125
Dense1x65,8087,3,3,1,6.5185546875
Dense1x65,4406,3,3,1,6.1279296875
Dense1x65,9717,3,3,1,6.8603515625
Dense1x65,3487,3,3,1,5.0
Dense1x65,7207,3,3,1,5.9228515625
Dense1x65,8655,3,3,1,3.4619140625
Dense1x65,7644,3,3,1,3.2275390625
Dense1x65,2575,3,3,1,6.9677734375
Dense1x65,2634,3,3,1,4.5361328125
Dense1x65,8860,3,3,1,5.0341796875
Dense1x65,6790,3,3,1,4.8828125
Dense1x65,87,3,3,1,1.3720703125
Dense1x65,7435,3,3,1,5.37109375
Dense1x65,1215,3,3,1,2.529296875
Dense1x65,7333,3,3,1,2.919921875
Dense1x65,8924,3,3,1,4.4140625
Dense1x65,4940,3,3,1,5.0
Dense1x65,7157,3,3,1,4.8876953125
Dense1x65,1298,3,3,1,4.16015625
Dense1x65,2534,3,3,1,1.0107421875
Dense2x20,9367,0,0,1,5.4345703125
Dense2x20,1713,0,0,1,3.6376953125
Dense2x20,1468,0,0,1,2.841796875
Dense2x20,3210,0,0,1,3.271484375
Dense2x20,7231,0,0,1,4.0087890625
Dense2x20,5980,0,0,1,4.0869140625
Dense2x20,9633,0,0,1,4.1650390625
Dense2x20,7162,0,0,1,3.26171875
Dense2x20,6892,0,0,1,4.2626953125
Dense2x20,8818,0,0,1,4.2626953125
Dense2x20,5301,0,0,1,4.43359375
Dense2x20,3226,0,0,1,5.927734375
