testing_network,generating_network,target_class,som_mode,predicted_class,filename,fastlin_eps
Dense1x60,Dense1x60,0,independent,0,Dense1x60_0_independent.png,16.0693359375
Dense1x60,Dense1x60,0,mean_relative,0,Dense1x60_0_mean_relative.png,17.40234375
Dense1x60,Dense1x60,0,second_place_relative,0,Dense1x60_0_second_place_relative.png,17.724609375
Dense1x60,Dense1x60,1,independent,1,Dense1x60_1_independent.png,8.73046875
Dense1x60,Dense1x60,1,mean_relative,1,Dense1x60_1_mean_relative.png,1.11328125
Dense1x60,Dense1x60,1,second_place_relative,1,Dense1x60_1_second_place_relative.png,11.0400390625
Dense1x60,Dense1x60,3,independent,3,Dense1x60_3_independent.png,24.6728515625
Dense1x60,Dense1x60,3,mean_relative,3,Dense1x60_3_mean_relative.png,21.89453125
Dense1x60,Dense1x60,3,second_place_relative,3,Dense1x60_3_second_place_relative.png,29.580078125
Dense1x60,Dense2x12,0,independent,0,Dense2x12_0_independent.png,9.599609375
Dense1x60,Dense2x12,0,mean_relative,5,Dense2x12_0_mean_relative.png,0.4248046875
Dense1x60,Dense2x12,0,second_place_relative,0,Dense2x12_0_second_place_relative.png,8.1298828125
Dense1x60,Dense2x12,1,independent,2,Dense2x12_1_independent.png,15.263671875
Dense1x60,Dense2x12,1,mean_relative,2,Dense2x12_1_mean_relative.png,12.12890625
Dense1x60,Dense2x12,1,second_place_relative,2,Dense2x12_1_second_place_relative.png,7.2705078125
Dense1x60,Dense2x12,3,independent,3,Dense2x12_3_independent.png,8.5498046875
Dense1x60,Dense2x12,3,mean_relative,3,Dense2x12_3_mean_relative.png,10.908203125
Dense1x60,Dense2x12,3,second_place_relative,3,Dense2x12_3_second_place_relative.png,17.6123046875
Dense1x60,Dense2x18,0,independent,0,Dense2x18_0_independent.png,8.6572265625
Dense1x60,Dense2x18,0,mean_relative,0,Dense2x18_0_mean_relative.png,7.2998046875
Dense1x60,Dense2x18,0,second_place_relative,0,Dense2x18_0_second_place_relative.png,7.3388671875
Dense1x60,Dense2x18,1,independent,2,Dense2x18_1_independent.png,6.69921875
Dense1x60,Dense2x18,1,mean_relative,2,Dense2x18_1_mean_relative.png,6.435546875
Dense1x60,Dense2x18,1,second_place_relative,1,Dense2x18_1_second_place_relative.png,4.35546875
Dense1x60,Dense2x18,3,independent,3,Dense2x18_3_independent.png,19.0283203125
Dense1x60,Dense2x18,3,mean_relative,3,Dense2x18_3_mean_relative.png,16.2353515625
Dense1x60,Dense2x18,3,second_place_relative,3,Dense2x18_3_second_place_relative.png,23.1201171875
Dense1x60,Dense2x19,0,independent,0,Dense2x19_0_independent.png,10.712890625
Dense1x60,Dense2x19,0,mean_relative,0,Dense2x19_0_mean_relative.png,11.7138671875
Dense1x60,Dense2x19,0,second_place_relative,0,Dense2x19_0_second_place_relative.png,14.1357421875
Dense1x60,Dense2x19,1,independent,3,Dense2x19_1_independent.png,1.962890625
Dense1x60,Dense2x19,1,mean_relative,3,Dense2x19_1_mean_relative.png,0.4736328125
Dense1x60,Dense2x19,1,second_place_relative,1,Dense2x19_1_second_place_relative.png,0.3173828125
Dense1x60,Dense2x19,3,independent,3,Dense2x19_3_independent.png,20.2783203125
Dense1x60,Dense2x19,3,mean_relative,3,Dense2x19_3_mean_relative.png,20.458984375
Dense1x60,Dense2x19,3,second_place_relative,3,Dense2x19_3_second_place_relative.png,17.98828125
Dense1x60,Dense2x20,0,independent,0,Dense2x20_0_independent.png,6.0302734375
Dense1x60,Dense2x20,0,mean_relative,0,Dense2x20_0_mean_relative.png,5.9228515625
Dense1x60,Dense2x20,0,second_place_relative,0,Dense2x20_0_second_place_relative.png,7.9345703125
Dense1x60,Dense2x20,1,independent,1,Dense2x20_1_independent.png,6.0986328125
Dense1x60,Dense2x20,1,mean_relative,1,Dense2x20_1_mean_relative.png,3.41796875
Dense1x60,Dense2x20,1,second_place_relative,1,Dense2x20_1_second_place_relative.png,4.94140625
Dense1x60,Dense2x20,3,independent,3,Dense2x20_3_independent.png,16.943359375
Dense1x60,Dense2x20,3,mean_relative,3,Dense2x20_3_mean_relative.png,14.04296875
Dense1x60,Dense2x20,3,second_place_relative,3,Dense2x20_3_second_place_relative.png,19.7607421875
Dense1x60,Dense2x22,0,independent,0,Dense2x22_0_independent.png,9.3310546875
Dense1x60,Dense2x22,0,mean_relative,0,Dense2x22_0_mean_relative.png,3.6083984375
Dense1x60,Dense2x22,0,second_place_relative,0,Dense2x22_0_second_place_relative.png,10.60546875
Dense1x60,Dense2x22,1,independent,1,Dense2x22_1_independent.png,3.6279296875
Dense1x60,Dense2x22,1,mean_relative,2,Dense2x22_1_mean_relative.png,15.4736328125
