network,class,som_mode,obj_val,finishedSearch
Dense1x15,0,independent,33.3962742750828,True
Dense1x15,0,mean relative,38.45904899232561,True
Dense1x15,0,second place relative,27.013028022249472,True
Dense1x15,1,independent,23.587717949629944,True
Dense1x15,1,mean relative,25.219745260242743,True
Dense1x15,1,second place relative,19.681987433994422,True
Dense1x15,3,independent,42.740411826110396,True
Dense1x15,3,mean relative,45.087988914776446,True
Dense1x15,3,second place relative,34.03184717740113,True
Dense1x20,0,independent,32.43650276583476,True
Dense1x20,0,mean relative,35.89808378323394,True
Dense1x20,0,second place relative,23.786330148708885,True
Dense1x20,1,independent,22.4012135352112,True
Dense1x20,1,mean relative,26.12357364973917,True
Dense1x20,1,second place relative,18.79048644790746,True
Dense1x20,3,independent,42.39730699582567,True
Dense1x20,3,mean relative,50.34735585460703,True
Dense1x20,3,second place relative,36.46143563399245,True
Dense1x25,0,independent,23.385587901195013,True
Dense1x25,0,mean relative,30.957535108228566,True
Dense1x25,0,second place relative,22.716515252849035,True
Dense1x25,1,independent,23.886571638372104,True
Dense1x25,1,mean relative,27.206137057133766,True
Dense1x25,1,second place relative,23.885806311306307,True
Dense1x25,3,independent,40.53546865600473,True
Dense1x25,3,mean relative,47.828659157859335,True
Dense1x25,3,second place relative,33.526515267404,True
Dense1x30,0,independent,25.230886853562986,True
Dense1x30,0,mean relative,31.586294749268976,True
Dense1x30,0,second place relative,24.657568199207294,True
Dense1x30,1,independent,21.816343201997842,True
Dense1x30,1,mean relative,30.51054795841217,True
Dense1x30,1,second place relative,20.955594479680798,True
Dense1x30,3,independent,40.659012864812986,True
Dense1x30,3,mean relative,55.61189397374015,True
Dense1x30,3,second place relative,39.505492771922114,True
Dense1x35,0,independent,31.512002815373485,True
Dense1x35,0,mean relative,35.582541318595624,True
Dense1x35,0,second place relative,28.506504449162737,True
Dense1x35,1,independent,33.03204996893408,True
Dense1x35,1,mean relative,35.90702260037575,True
Dense1x35,1,second place relative,29.20751972654355,True
Dense1x35,3,independent,41.02873974301982,True
Dense1x35,3,mean relative,49.147499357697,True
Dense1x35,3,second place relative,37.346538018194586,True
Dense1x40,0,independent,27.70686932849948,True
Dense1x40,0,mean relative,31.475905905800303,True
Dense1x40,0,second place relative,24.87486508231957,True
Dense1x40,1,independent,21.266253631781222,True
Dense1x40,1,mean relative,25.057671804921828,True
Dense1x40,1,second place relative,19.91760547272802,True
Dense1x40,3,independent,39.64880102355429,True
Dense1x40,3,mean relative,51.00317447870782,True
Dense1x40,3,second place relative,37.49806457571226,True
Dense1x45,0,independent,25.411922716539745,True
Dense1x45,0,mean relative,30.441159572216193,True
Dense1x45,0,second place relative,24.70199009972308,True
Dense1x45,1,independent,22.646569666333217,True
Dense1x45,1,mean relative,26.06173326003283,True
Dense1x45,1,second place relative,22.276724828271366,True
Dense1x45,3,independent,44.90900503128868,True
