testing_network,filename,source,target_class,predicted_class,fastlin_eps
Dense1x15,Avg_Exp2_0.png,Exp2,0,0,18.4619140625
Dense1x15,Avg_Exp2_1.png,Exp2,1,2,1.279296875
Dense1x15,Avg_Exp2_3.png,Exp2,3,3,21.240234375
Dense1x15,Avg_MNIST_0.png,MNIST,0,0,6.416015625
Dense1x15,Avg_MNIST_1.png,MNIST,1,1,4.4287109375
Dense1x15,Avg_MNIST_3.png,MNIST,3,3,4.4873046875
Dense1x20,Avg_Exp2_0.png,Exp2,0,0,8.720703125
Dense1x20,Avg_Exp2_1.png,Exp2,1,2,0.029296875
Dense1x20,Avg_Exp2_3.png,Exp2,3,3,21.1669921875
Dense1x20,Avg_MNIST_0.png,MNIST,0,0,5.8056640625
Dense1x20,Avg_MNIST_1.png,MNIST,1,1,4.5654296875
Dense1x20,Avg_MNIST_3.png,MNIST,3,3,4.7607421875
Dense1x25,Avg_Exp2_0.png,Exp2,0,0,8.330078125
Dense1x25,Avg_Exp2_1.png,Exp2,1,3,4.248046875
Dense1x25,Avg_Exp2_3.png,Exp2,3,3,23.515625
Dense1x25,Avg_MNIST_0.png,MNIST,0,0,5.5517578125
Dense1x25,Avg_MNIST_1.png,MNIST,1,1,4.1162109375
Dense1x25,Avg_MNIST_3.png,MNIST,3,3,4.5654296875
Dense1x30,Avg_Exp2_0.png,Exp2,0,0,9.1162109375
Dense1x30,Avg_Exp2_1.png,Exp2,1,3,1.1865234375
Dense1x30,Avg_Exp2_3.png,Exp2,3,3,20.7763671875
Dense1x30,Avg_MNIST_0.png,MNIST,0,0,5.5224609375
Dense1x30,Avg_MNIST_1.png,MNIST,1,1,4.0771484375
Dense1x30,Avg_MNIST_3.png,MNIST,3,3,4.2138671875
Dense1x35,Avg_Exp2_0.png,Exp2,0,0,11.0205078125
Dense1x35,Avg_Exp2_1.png,Exp2,1,1,9.5849609375
Dense1x35,Avg_Exp2_3.png,Exp2,3,3,20.8349609375
Dense1x35,Avg_MNIST_0.png,MNIST,0,0,4.697265625
Dense1x35,Avg_MNIST_1.png,MNIST,1,1,3.603515625
Dense1x35,Avg_MNIST_3.png,MNIST,3,3,4.39453125
Dense1x40,Avg_Exp2_0.png,Exp2,0,0,10.380859375
Dense1x40,Avg_Exp2_1.png,Exp2,1,1,1.591796875
Dense1x40,Avg_Exp2_3.png,Exp2,3,3,18.3837890625
Dense1x40,Avg_MNIST_0.png,MNIST,0,0,5.1904296875
Dense1x40,Avg_MNIST_1.png,MNIST,1,1,3.9013671875
Dense1x40,Avg_MNIST_3.png,MNIST,3,3,5.0732421875
Dense1x45,Avg_Exp2_0.png,Exp2,0,0,7.6318359375
Dense1x45,Avg_Exp2_1.png,Exp2,1,3,0.17578125
Dense1x45,Avg_Exp2_3.png,Exp2,3,3,18.53515625
Dense1x45,Avg_MNIST_0.png,MNIST,0,0,4.39453125
Dense1x45,Avg_MNIST_1.png,MNIST,1,1,3.359375
Dense1x45,Avg_MNIST_3.png,MNIST,3,3,3.1201171875
Dense1x50,Avg_Exp2_0.png,Exp2,0,0,10.3759765625
Dense1x50,Avg_Exp2_1.png,Exp2,1,1,5.68359375
Dense1x50,Avg_Exp2_3.png,Exp2,3,3,18.291015625
Dense1x50,Avg_MNIST_0.png,MNIST,0,0,5.7080078125
Dense1x50,Avg_MNIST_1.png,MNIST,1,1,3.7109375
Dense1x50,Avg_MNIST_3.png,MNIST,3,3,4.5458984375
Dense1x55,Avg_Exp2_0.png,Exp2,0,0,10.1708984375
Dense1x55,Avg_Exp2_1.png,Exp2,1,1,2.5537109375
Dense1x55,Avg_Exp2_3.png,Exp2,3,3,22.1435546875
Dense1x55,Avg_MNIST_0.png,MNIST,0,0,5.83984375
Dense1x55,Avg_MNIST_1.png,MNIST,1,1,3.876953125
Dense1x55,Avg_MNIST_3.png,MNIST,3,3,4.5458984375
Dense1x60,Avg_Exp2_0.png,Exp2,0,0,9.697265625
Dense1x60,Avg_Exp2_1.png,Exp2,1,1,3.8623046875
Dense1x60,Avg_Exp2_3.png,Exp2,3,3,19.5556640625
Dense1x60,Avg_MNIST_0.png,MNIST,0,0,5.33203125
Dense1x60,Avg_MNIST_1.png,MNIST,1,1,3.271484375
Dense1x60,Avg_MNIST_3.png,MNIST,3,3,3.916015625
Dense1x65,Avg_Exp2_0.png,Exp2,0,0,7.3828125
Dense1x65,Avg_Exp2_1.png,Exp2,1,1,4.443359375
Dense1x65,Avg_Exp2_3.png,Exp2,3,3,23.076171875
Dense1x65,Avg_MNIST_0.png,MNIST,0,0,4.70703125
Dense1x65,Avg_MNIST_1.png,MNIST,1,1,3.7548828125
Dense1x65,Avg_MNIST_3.png,MNIST,3,3,3.9453125
Dense1x70,Avg_Exp2_0.png,Exp2,0,0,10.712890625
Dense1x70,Avg_Exp2_1.png,Exp2,1,1,2.3046875
Dense1x70,Avg_Exp2_3.png,Exp2,3,3,24.4189453125
Dense1x70,Avg_MNIST_0.png,MNIST,0,0,5.498046875
Dense1x70,Avg_MNIST_1.png,MNIST,1,1,3.8623046875
Dense1x70,Avg_MNIST_3.png,MNIST,3,3,4.1796875
Dense2x20,Avg_Exp2_0.png,Exp2,0,0,15.4052734375
Dense2x20,Avg_Exp2_1.png,Exp2,1,1,5.1513671875
Dense2x20,Avg_Exp2_3.png,Exp2,3,3,12.3095703125
Dense2x20,Avg_MNIST_0.png,MNIST,0,0,4.8583984375
Dense2x20,Avg_MNIST_1.png,MNIST,1,1,3.6328125
Dense2x20,Avg_MNIST_3.png,MNIST,3,3,3.7060546875
Dense2x25,Avg_Exp2_0.png,Exp2,0,0,9.384765625
Dense2x25,Avg_Exp2_1.png,Exp2,1,2,1.328125
Dense2x25,Avg_Exp2_3.png,Exp2,3,3,24.0673828125
Dense2x25,Avg_MNIST_0.png,MNIST,0,0,4.833984375
Dense2x25,Avg_MNIST_1.png,MNIST,1,1,3.3154296875
Dense2x25,Avg_MNIST_3.png,MNIST,3,3,4.21875
Dense2x30,Avg_Exp2_0.png,Exp2,0,0,8.61328125
Dense2x30,Avg_Exp2_1.png,Exp2,1,1,5.56640625
Dense2x30,Avg_Exp2_3.png,Exp2,3,3,25.9716796875
Dense2x30,Avg_MNIST_0.png,MNIST,0,0,5.0146484375
Dense2x30,Avg_MNIST_1.png,MNIST,1,1,3.642578125
Dense2x30,Avg_MNIST_3.png,MNIST,3,3,4.53125
Dense2x35,Avg_Exp2_0.png,Exp2,0,0,10.1171875
Dense2x35,Avg_Exp2_1.png,Exp2,1,2,0.1123046875
Dense2x35,Avg_Exp2_3.png,Exp2,3,3,19.1845703125
Dense2x35,Avg_MNIST_0.png,MNIST,0,0,4.7314453125
Dense2x35,Avg_MNIST_1.png,MNIST,1,1,2.7783203125
Dense2x35,Avg_MNIST_3.png,MNIST,3,3,3.0029296875
Dense2x40,Avg_Exp2_0.png,Exp2,0,0,9.0966796875
Dense2x40,Avg_Exp2_1.png,Exp2,1,1,0.048828125
Dense2x40,Avg_Exp2_3.png,Exp2,3,3,22.666015625
Dense2x40,Avg_MNIST_0.png,MNIST,0,0,4.8828125
Dense2x40,Avg_MNIST_1.png,MNIST,1,1,3.22265625
Dense2x40,Avg_MNIST_3.png,MNIST,3,3,3.798828125
Dense2x45,Avg_Exp2_0.png,Exp2,0,0,13.06640625
Dense2x45,Avg_Exp2_1.png,Exp2,1,2,0.3173828125
Dense2x45,Avg_Exp2_3.png,Exp2,3,3,23.2373046875
Dense2x45,Avg_MNIST_0.png,MNIST,0,0,5.2197265625
Dense2x45,Avg_MNIST_1.png,MNIST,1,1,3.2080078125
Dense2x45,Avg_MNIST_3.png,MNIST,3,3,4.0234375
Dense2x50,Avg_Exp2_0.png,Exp2,0,0,11.220703125
Dense2x50,Avg_Exp2_1.png,Exp2,1,1,3.7109375
Dense2x50,Avg_Exp2_3.png,Exp2,3,3,17.9736328125
Dense2x50,Avg_MNIST_0.png,MNIST,0,0,4.775390625
Dense2x50,Avg_MNIST_1.png,MNIST,1,1,2.685546875
Dense2x50,Avg_MNIST_3.png,MNIST,3,3,3.28125
Dense2x55,Avg_Exp2_0.png,Exp2,0,0,10.576171875
Dense2x55,Avg_Exp2_1.png,Exp2,1,1,0.1220703125
Dense2x55,Avg_Exp2_3.png,Exp2,3,3,21.8798828125
Dense2x55,Avg_MNIST_0.png,MNIST,0,0,5.185546875
Dense2x55,Avg_MNIST_1.png,MNIST,1,1,2.3193359375
Dense2x55,Avg_MNIST_3.png,MNIST,3,3,4.169921875
Dense2x60,Avg_Exp2_0.png,Exp2,0,0,8.5546875
Dense2x60,Avg_Exp2_1.png,Exp2,1,1,0.8203125
Dense2x60,Avg_Exp2_3.png,Exp2,3,3,23.798828125
Dense2x60,Avg_MNIST_0.png,MNIST,0,0,4.501953125
Dense2x60,Avg_MNIST_1.png,MNIST,1,1,2.5048828125
Dense2x60,Avg_MNIST_3.png,MNIST,3,3,3.96484375
Dense2x65,Avg_Exp2_0.png,Exp2,0,0,14.1748046875
Dense2x65,Avg_Exp2_1.png,Exp2,1,1,0.6298828125
Dense2x65,Avg_Exp2_3.png,Exp2,3,3,22.958984375
Dense2x65,Avg_MNIST_0.png,MNIST,0,0,5.400390625
Dense2x65,Avg_MNIST_1.png,MNIST,1,1,2.3876953125
Dense2x65,Avg_MNIST_3.png,MNIST,3,3,3.076171875
Dense2x70,Avg_Exp2_0.png,Exp2,0,0,11.6748046875
