testing_network,gen_net1,gen_net2,target_class,predicted_class,mode,filename,fastlin_eps
Dense1x25,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,5.322265625
Dense1x25,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,22.5048828125
Dense1x25,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,10.703125
Dense1x60,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,10.908203125
Dense1x60,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,22.6025390625
Dense1x60,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,14.5068359375
Dense1x65,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,8.8916015625
Dense1x65,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,24.453125
Dense1x65,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,12.65625
Dense2x20,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,10.05859375
Dense2x20,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,28.37890625
Dense2x20,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,7.3876953125
Dense2x30,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,8.671875
Dense2x30,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,21.9482421875
Dense2x30,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,8.45703125
Dense2x65,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,10.4296875
Dense2x65,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,19.78515625
Dense2x65,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,12.5830078125
Dense3x20,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,2.3974609375
Dense3x20,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,29.66796875
Dense3x20,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,14.072265625
Dense3x25,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,5.7275390625
Dense3x25,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,27.119140625
Dense3x25,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,12.3974609375
Dense3x30,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,1.1474609375
Dense3x30,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,22.4560546875
Dense3x30,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,8.5888671875
Dense4x30,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,6.6357421875
Dense4x30,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,23.623046875
Dense4x30,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,7.1484375
Dense4x35,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,7.1728515625
Dense4x35,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,21.0693359375
Dense4x35,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,11.77734375
Dense5x10,Dense1x60,Dense5x15,0,2,independent,Dense1x60_Dense5x15_0_independent.png,0.68359375
Dense5x10,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,19.365234375
Dense5x10,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,5.64453125
Dense5x15,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,17.9541015625
Dense5x15,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,20.9814453125
Dense5x15,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,6.7041015625
Dense5x60,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,6.9482421875
Dense5x60,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,15.390625
Dense5x60,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,8.26171875
Dense6x20,Dense1x60,Dense5x15,0,0,independent,Dense1x60_Dense5x15_0_independent.png,1.826171875
Dense6x20,Dense1x65,Dense2x20,3,3,independent,Dense1x65_Dense2x20_3_independent.png,21.435546875
Dense6x20,Dense1x65,Dense3x20,0,0,independent,Dense1x65_Dense3x20_0_independent.png,9.3017578125
