testing_network,filename,source,target_class,variation,predicted_class,fastlin_eps
Dense1x15,PCA_Exp2_0_var0.png,Exp2,0,var0,0,18.2421875
Dense1x15,PCA_Exp2_0_var1.png,Exp2,0,var1,0,19.560546875
Dense1x15,PCA_Exp2_0_var2.png,Exp2,0,var2,0,18.4814453125
Dense1x15,PCA_Exp2_0_var3.png,Exp2,0,var3,0,16.376953125
Dense1x15,PCA_Exp2_0_var4.png,Exp2,0,var4,0,14.2138671875
Dense1x15,PCA_Exp2_1_var0.png,Exp2,1,var0,1,6.220703125
Dense1x15,PCA_Exp2_1_var1.png,Exp2,1,var1,1,3.759765625
Dense1x15,PCA_Exp2_1_var2.png,Exp2,1,var2,2,1.2939453125
Dense1x15,PCA_Exp2_1_var3.png,Exp2,1,var3,3,0.44921875
Dense1x15,PCA_Exp2_1_var4.png,Exp2,1,var4,3,3.173828125
Dense1x15,PCA_Exp2_3_var0.png,Exp2,3,var0,3,28.3447265625
Dense1x15,PCA_Exp2_3_var1.png,Exp2,3,var1,3,25.8642578125
Dense1x15,PCA_Exp2_3_var2.png,Exp2,3,var2,3,21.26953125
Dense1x15,PCA_Exp2_3_var3.png,Exp2,3,var3,3,16.533203125
Dense1x15,PCA_Exp2_3_var4.png,Exp2,3,var4,3,11.9384765625
Dense1x15,PCA_MNIST_0_var0.png,MNIST,0,var0,0,7.802734375
Dense1x15,PCA_MNIST_0_var1.png,MNIST,0,var1,0,9.3701171875
Dense1x15,PCA_MNIST_0_var2.png,MNIST,0,var2,0,8.2373046875
Dense1x15,PCA_MNIST_0_var3.png,MNIST,0,var3,0,6.6357421875
Dense1x15,PCA_MNIST_0_var4.png,MNIST,0,var4,0,4.5361328125
Dense1x15,PCA_MNIST_1_var0.png,MNIST,1,var0,1,4.4775390625
Dense1x15,PCA_MNIST_1_var1.png,MNIST,1,var1,1,5.126953125
Dense1x15,PCA_MNIST_1_var2.png,MNIST,1,var2,1,4.5849609375
Dense1x15,PCA_MNIST_1_var3.png,MNIST,1,var3,1,4.130859375
Dense1x15,PCA_MNIST_1_var4.png,MNIST,1,var4,1,2.91015625
Dense1x15,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.27734375
Dense1x15,PCA_MNIST_3_var1.png,MNIST,3,var1,3,5.5224609375
Dense1x15,PCA_MNIST_3_var2.png,MNIST,3,var2,3,5.8203125
Dense1x15,PCA_MNIST_3_var3.png,MNIST,3,var3,3,5.3076171875
Dense1x15,PCA_MNIST_3_var4.png,MNIST,3,var4,3,4.5556640625
Dense1x20,PCA_Exp2_0_var0.png,Exp2,0,var0,0,13.9111328125
Dense1x20,PCA_Exp2_0_var1.png,Exp2,0,var1,0,12.080078125
Dense1x20,PCA_Exp2_0_var2.png,Exp2,0,var2,0,8.701171875
Dense1x20,PCA_Exp2_0_var3.png,Exp2,0,var3,0,6.0888671875
Dense1x20,PCA_Exp2_0_var4.png,Exp2,0,var4,0,2.0458984375
Dense1x20,PCA_Exp2_1_var0.png,Exp2,1,var0,1,6.337890625
Dense1x20,PCA_Exp2_1_var1.png,Exp2,1,var1,1,5.3173828125
Dense1x20,PCA_Exp2_1_var2.png,Exp2,1,var2,2,0.0439453125
Dense1x20,PCA_Exp2_1_var3.png,Exp2,1,var3,3,0.4150390625
Dense1x20,PCA_Exp2_1_var4.png,Exp2,1,var4,3,0.60546875
Dense1x20,PCA_Exp2_3_var0.png,Exp2,3,var0,3,27.94921875
Dense1x20,PCA_Exp2_3_var1.png,Exp2,3,var1,3,25.654296875
Dense1x20,PCA_Exp2_3_var2.png,Exp2,3,var2,3,21.1962890625
Dense1x20,PCA_Exp2_3_var3.png,Exp2,3,var3,3,16.4892578125
Dense1x20,PCA_Exp2_3_var4.png,Exp2,3,var4,3,11.9384765625
Dense1x20,PCA_MNIST_0_var0.png,MNIST,0,var0,0,6.23046875
Dense1x20,PCA_MNIST_0_var1.png,MNIST,0,var1,0,8.0224609375
Dense1x20,PCA_MNIST_0_var2.png,MNIST,0,var2,0,7.4853515625
Dense1x20,PCA_MNIST_0_var3.png,MNIST,0,var3,0,6.4990234375
Dense1x20,PCA_MNIST_0_var4.png,MNIST,0,var4,0,4.6875
Dense1x20,PCA_MNIST_1_var0.png,MNIST,1,var0,1,4.2431640625
Dense1x20,PCA_MNIST_1_var1.png,MNIST,1,var1,1,4.98046875
Dense1x20,PCA_MNIST_1_var2.png,MNIST,1,var2,1,4.736328125
Dense1x20,PCA_MNIST_1_var3.png,MNIST,1,var3,1,3.8427734375
Dense1x20,PCA_MNIST_1_var4.png,MNIST,1,var4,1,2.48046875
Dense1x20,PCA_MNIST_3_var0.png,MNIST,3,var0,3,4.9365234375
