network1,network2,target_class,mode,obj_val,finishedSearch
Dense2x35,Dense2x45,1,independent,0,False
Dense2x45,Dense3x20,1,independent,0,False
Dense2x45,Dense5x20,1,independent,0,False
Dense2x30,Dense2x40,0,independent,56.02796834624236,True
Dense1x20,Dense1x55,0,independent,58.80985668428967,True
Dense1x15,Dense4x20,1,independent,50.50864093731168,True
Dense1x20,Dense2x20,1,independent,38.41918052672001,True
Dense1x50,Dense2x30,3,independent,93.39330340590053,True
Dense1x35,Dense2x25,0,independent,58.9029396581747,True
Dense1x30,Dense1x65,3,independent,81.99671078132687,True
Dense2x30,Dense4x25,1,independent,0,False
Dense1x55,Dense2x30,3,independent,95.37129216838052,True
Dense1x45,Dense3x20,0,independent,49.71668088380356,True
Dense2x20,Dense2x35,3,independent,74.47554412885115,True
Dense1x55,Dense2x45,0,independent,51.377889328157856,True
Dense2x45,Dense2x50,0,independent,0,False
Dense2x25,Dense2x35,3,independent,83.61120162836004,True
Dense1x30,Dense2x40,3,independent,88.95722362327649,True
Dense2x40,Dense3x30,1,independent,0,False
Dense1x50,Dense2x20,1,independent,45.008104578792725,True
Dense1x55,Dense3x15,3,independent,74.36219081993765,True
Dense2x20,Dense3x25,1,independent,0,False
Dense1x55,Dense2x20,1,independent,39.610230739763196,True
Dense1x55,Dense3x20,0,independent,53.573827907652955,True
Dense1x60,Dense4x20,3,independent,88.06837764670956,True
Dense3x25,Dense4x25,0,independent,0,False
Dense1x25,Dense1x60,0,independent,50.556374363473225,True
Dense1x25,Dense3x30,0,independent,48.27830587879588,True
Dense2x45,Dense3x25,3,independent,0,False
Dense1x25,Dense2x20,0,independent,49.20958329685459,True
Dense1x25,Dense5x20,0,independent,59.28138962818941,True
Dense3x15,Dense3x30,0,independent,49.14595059698174,True
Dense2x35,Dense3x25,0,independent,0,False
Dense2x50,Dense5x20,0,independent,0,False
Dense2x25,Dense3x15,1,independent,39.567137498365966,True
Dense1x50,Dense4x25,3,independent,95.67729645905119,True
Dense3x15,Dense4x25,3,independent,87.6400264292939,True
Dense1x45,Dense2x20,0,independent,51.86897110737817,True
Dense1x15,Dense1x40,0,independent,56.5176246375208,True
Dense1x35,Dense1x70,1,independent,48.11582594596659,True
Dense1x35,Dense3x25,3,independent,89.072525826169,True
Dense1x45,Dense2x45,1,independent,0,False
Dense1x50,Dense2x25,3,independent,80.61603040039198,True
Dense1x25,Dense1x70,3,independent,85.61372728987573,True
Dense1x65,Dense3x20,0,independent,48.12058665627097,True
Dense2x25,Dense2x45,0,independent,53.205893865445105,True
Dense1x45,Dense5x20,3,independent,81.65237869670746,True
Dense1x40,Dense2x35,1,independent,0,False
Dense1x25,Dense1x35,0,independent,50.63696880416839,True
Dense1x55,Dense4x25,1,independent,0,False
Dense1x20,Dense2x45,1,independent,39.36148472492242,True
Dense1x65,Dense2x30,0,independent,53.17588875312529,True
Dense1x65,Dense3x15,3,independent,70.3959211854254,True
Dense3x25,Dense5x20,3,independent,0,False
Dense1x35,Dense1x55,1,independent,49.428244823507185,True
Dense1x45,Dense3x30,1,independent,0,False
Dense1x30,Dense2x45,0,independent,46.47432371909714,True
Dense2x40,Dense4x20,0,independent,0,False
Dense2x30,Dense3x30,3,independent,101.42816175527835,True
Dense3x15,Dense4x20,0,independent,43.041327326903925,True
Dense1x25,Dense4x20,1,independent,43.50349911598834,True
Dense3x15,Dense3x25,3,independent,78.1615806614073,True
Dense1x70,Dense4x20,0,independent,46.691134184031,True
Dense1x55,Dense1x65,3,independent,87.73559740376612,True
Dense1x15,Dense2x25,0,independent,59.47013112687392,True
Dense1x40,Dense2x40,3,independent,86.43104902067516,True
Dense1x40,Dense4x20,3,independent,84.64678692293303,True
Dense1x20,Dense3x30,1,independent,48.20956154152006,True
Dense1x30,Dense1x40,3,independent,78.32754118003376,True
Dense1x15,Dense3x30,3,independent,93.13373022965044,True
Dense1x60,Dense1x70,0,independent,57.07713554680751,True
Dense3x20,Dense3x30,0,independent,54.12227102662516,True
Dense3x30,Dense4x25,3,independent,0,False
Dense3x30,Dense4x20,0,independent,0,False
Dense2x25,Dense2x50,1,independent,0,False
Dense1x15,Dense3x25,1,independent,42.84430710720021,True
Dense2x20,Dense2x45,3,independent,79.32440492239493,True
Dense1x55,Dense2x25,3,independent,83.09866299580169,True
Dense1x15,Dense1x20,1,independent,39.600462218535384,True
Dense1x15,Dense3x20,0,independent,57.65284650560086,True
Dense1x50,Dense2x45,0,independent,52.97859146060096,True
Dense1x55,Dense2x40,1,independent,0,False
Dense1x20,Dense2x25,0,independent,60.58232689903568,True
Dense2x20,Dense2x30,0,independent,57.05842771042878,True
Dense2x45,Dense3x15,3,independent,78.14126724039133,True
Dense1x40,Dense1x60,0,independent,56.03017405185844,True
Dense1x20,Dense1x35,0,independent,59.93096958009389,True
Dense1x15,Dense1x70,0,independent,54.9935828421638,True
Dense1x15,Dense1x25,0,independent,50.85628028550953,True
Dense1x50,Dense1x70,3,independent,90.06913401514947,True
Dense2x35,Dense4x20,1,independent,0,False
Dense1x25,Dense2x45,3,independent,87.14906187914944,True
Dense1x60,Dense2x40,0,independent,57.04520877420714,True
Dense2x20,Dense2x25,3,independent,67.37081506022368,True
Dense1x15,Dense2x20,1,independent,40.07632567570242,True
Dense3x30,Dense5x20,0,independent,0,False
Dense2x35,Dense2x40,3,independent,95.50899864016941,True
Dense2x20,Dense3x20,1,independent,52.38957849848066,True
Dense1x35,Dense1x60,3,independent,82.86828229212922,True
Dense1x45,Dense2x40,1,independent,0,False
